Namespace(backbone='resnet50', batch_size=32, config='CoorAtt/cooratt.yaml', data_dir='/DB/rhome/yuhaowang/CV_DA/OfficeHomeDataset_10072016', device=device(type='cuda'), early_stop=15, epoch_based_training=False, lr=0.001, lr_decay=0.75, lr_gamma=0.0003, lr_scheduler=True, momentum=0.9, n_epoch=70, n_iter_per_epoch=300, num_workers=3, seed=1, src_domain='Clipart', tgt_domain='Product', transfer_loss='bnm', transfer_loss_weight=1.0, use_bottleneck=True, weight_decay=0.0005)
Epoch: [ 1/70], cls_loss: 2.8989, transfer_loss: -0.1461, total_Loss: 2.7528, test_loss 2.378026, test_acc: 43.8612
Epoch: [ 2/70], cls_loss: 1.6668, transfer_loss: -0.3426, total_Loss: 1.3243, test_loss 1.784814, test_acc: 55.5080
Epoch: [ 3/70], cls_loss: 1.1524, transfer_loss: -0.4642, total_Loss: 0.6882, test_loss 1.522170, test_acc: 60.8921
Epoch: [ 4/70], cls_loss: 0.8654, transfer_loss: -0.5452, total_Loss: 0.3202, test_loss 1.364704, test_acc: 64.6993
Epoch: [ 5/70], cls_loss: 0.6681, transfer_loss: -0.6005, total_Loss: 0.0677, test_loss 1.283351, test_acc: 67.1548
Epoch: [ 6/70], cls_loss: 0.5470, transfer_loss: -0.6425, total_Loss: -0.0955, test_loss 1.264721, test_acc: 68.1235
Epoch: [ 7/70], cls_loss: 0.4324, transfer_loss: -0.6700, total_Loss: -0.2375, test_loss 1.247879, test_acc: 69.0921
Epoch: [ 8/70], cls_loss: 0.3768, transfer_loss: -0.6924, total_Loss: -0.3156, test_loss 1.256429, test_acc: 69.8355
Epoch: [ 9/70], cls_loss: 0.3406, transfer_loss: -0.7131, total_Loss: -0.3724, test_loss 1.266706, test_acc: 70.4888
Epoch: [10/70], cls_loss: 0.2877, transfer_loss: -0.7216, total_Loss: -0.4339, test_loss 1.236060, test_acc: 70.8718
Epoch: [11/70], cls_loss: 0.2538, transfer_loss: -0.7394, total_Loss: -0.4856, test_loss 1.279262, test_acc: 70.9169
Epoch: [12/70], cls_loss: 0.2264, transfer_loss: -0.7446, total_Loss: -0.5182, test_loss 1.296112, test_acc: 71.2097
Epoch: [13/70], cls_loss: 0.2132, transfer_loss: -0.7539, total_Loss: -0.5407, test_loss 1.317732, test_acc: 71.2323
Epoch: [14/70], cls_loss: 0.1962, transfer_loss: -0.7540, total_Loss: -0.5577, test_loss 1.334628, test_acc: 71.3674
Epoch: [15/70], cls_loss: 0.1783, transfer_loss: -0.7587, total_Loss: -0.5804, test_loss 1.348607, test_acc: 71.5927
Epoch: [16/70], cls_loss: 0.1640, transfer_loss: -0.7707, total_Loss: -0.6067, test_loss 1.357233, test_acc: 71.6828
Epoch: [17/70], cls_loss: 0.1607, transfer_loss: -0.7762, total_Loss: -0.6155, test_loss 1.385489, test_acc: 71.9757
Epoch: [18/70], cls_loss: 0.1434, transfer_loss: -0.7783, total_Loss: -0.6350, test_loss 1.405733, test_acc: 71.8405
Epoch: [19/70], cls_loss: 0.1329, transfer_loss: -0.7836, total_Loss: -0.6507, test_loss 1.402732, test_acc: 72.2685
Epoch: [20/70], cls_loss: 0.1290, transfer_loss: -0.7896, total_Loss: -0.6606, test_loss 1.417793, test_acc: 72.3812
Epoch: [21/70], cls_loss: 0.1193, transfer_loss: -0.7918, total_Loss: -0.6725, test_loss 1.398993, test_acc: 72.8092
Epoch: [22/70], cls_loss: 0.1135, transfer_loss: -0.7895, total_Loss: -0.6760, test_loss 1.446304, test_acc: 72.4262
Epoch: [23/70], cls_loss: 0.1155, transfer_loss: -0.7955, total_Loss: -0.6801, test_loss 1.461500, test_acc: 72.6965
Epoch: [24/70], cls_loss: 0.1091, transfer_loss: -0.7983, total_Loss: -0.6892, test_loss 1.481737, test_acc: 72.4938
Epoch: [25/70], cls_loss: 0.1075, transfer_loss: -0.8007, total_Loss: -0.6932, test_loss 1.471701, test_acc: 72.7641
Epoch: [26/70], cls_loss: 0.1020, transfer_loss: -0.8037, total_Loss: -0.7017, test_loss 1.497753, test_acc: 72.6515
Epoch: [27/70], cls_loss: 0.0978, transfer_loss: -0.8025, total_Loss: -0.7047, test_loss 1.495377, test_acc: 72.6740
Epoch: [28/70], cls_loss: 0.0967, transfer_loss: -0.8105, total_Loss: -0.7138, test_loss 1.520870, test_acc: 72.8993
Epoch: [29/70], cls_loss: 0.0963, transfer_loss: -0.8073, total_Loss: -0.7110, test_loss 1.512815, test_acc: 72.6740
Epoch: [30/70], cls_loss: 0.0899, transfer_loss: -0.8130, total_Loss: -0.7231, test_loss 1.562464, test_acc: 72.9218
Epoch: [31/70], cls_loss: 0.0878, transfer_loss: -0.8141, total_Loss: -0.7263, test_loss 1.527131, test_acc: 72.8317
Epoch: [32/70], cls_loss: 0.0853, transfer_loss: -0.8097, total_Loss: -0.7245, test_loss 1.546924, test_acc: 72.9894
Epoch: [33/70], cls_loss: 0.0869, transfer_loss: -0.8131, total_Loss: -0.7262, test_loss 1.575506, test_acc: 72.7867
Epoch: [34/70], cls_loss: 0.0830, transfer_loss: -0.8123, total_Loss: -0.7293, test_loss 1.557627, test_acc: 72.8993
Epoch: [35/70], cls_loss: 0.0840, transfer_loss: -0.8157, total_Loss: -0.7316, test_loss 1.550192, test_acc: 73.2372
Epoch: [36/70], cls_loss: 0.0812, transfer_loss: -0.8158, total_Loss: -0.7346, test_loss 1.576974, test_acc: 73.1471
Epoch: [37/70], cls_loss: 0.0753, transfer_loss: -0.8209, total_Loss: -0.7456, test_loss 1.567688, test_acc: 73.3273
Epoch: [38/70], cls_loss: 0.0814, transfer_loss: -0.8175, total_Loss: -0.7361, test_loss 1.587869, test_acc: 73.2147
Epoch: [39/70], cls_loss: 0.0755, transfer_loss: -0.8186, total_Loss: -0.7431, test_loss 1.602683, test_acc: 73.1696
Epoch: [40/70], cls_loss: 0.0726, transfer_loss: -0.8200, total_Loss: -0.7474, test_loss 1.595789, test_acc: 73.5526
Epoch: [41/70], cls_loss: 0.0744, transfer_loss: -0.8224, total_Loss: -0.7480, test_loss 1.585001, test_acc: 73.4850
Epoch: [42/70], cls_loss: 0.0761, transfer_loss: -0.8197, total_Loss: -0.7435, test_loss 1.614520, test_acc: 73.2372
Epoch: [43/70], cls_loss: 0.0730, transfer_loss: -0.8229, total_Loss: -0.7499, test_loss 1.633839, test_acc: 73.2372
Epoch: [44/70], cls_loss: 0.0718, transfer_loss: -0.8237, total_Loss: -0.7519, test_loss 1.590125, test_acc: 73.3949
Epoch: [45/70], cls_loss: 0.0700, transfer_loss: -0.8263, total_Loss: -0.7563, test_loss 1.633846, test_acc: 73.3499
Epoch: [46/70], cls_loss: 0.0694, transfer_loss: -0.8275, total_Loss: -0.7581, test_loss 1.628416, test_acc: 73.3949
Epoch: [47/70], cls_loss: 0.0695, transfer_loss: -0.8301, total_Loss: -0.7605, test_loss 1.638709, test_acc: 73.4174
Epoch: [48/70], cls_loss: 0.0680, transfer_loss: -0.8241, total_Loss: -0.7561, test_loss 1.636032, test_acc: 73.6878
Epoch: [49/70], cls_loss: 0.0696, transfer_loss: -0.8257, total_Loss: -0.7562, test_loss 1.611150, test_acc: 73.6202
Epoch: [50/70], cls_loss: 0.0652, transfer_loss: -0.8253, total_Loss: -0.7601, test_loss 1.676060, test_acc: 73.5075
Epoch: [51/70], cls_loss: 0.0670, transfer_loss: -0.8279, total_Loss: -0.7609, test_loss 1.648071, test_acc: 73.6202
Epoch: [52/70], cls_loss: 0.0600, transfer_loss: -0.8275, total_Loss: -0.7675, test_loss 1.659568, test_acc: 73.7103
Epoch: [53/70], cls_loss: 0.0646, transfer_loss: -0.8296, total_Loss: -0.7650, test_loss 1.640825, test_acc: 73.8905
Epoch: [54/70], cls_loss: 0.0623, transfer_loss: -0.8303, total_Loss: -0.7680, test_loss 1.658553, test_acc: 73.8229
Epoch: [55/70], cls_loss: 0.0620, transfer_loss: -0.8304, total_Loss: -0.7684, test_loss 1.660001, test_acc: 73.8455
Epoch: [56/70], cls_loss: 0.0639, transfer_loss: -0.8291, total_Loss: -0.7652, test_loss 1.671970, test_acc: 73.8455
Epoch: [57/70], cls_loss: 0.0632, transfer_loss: -0.8320, total_Loss: -0.7687, test_loss 1.698990, test_acc: 73.7553
Epoch: [58/70], cls_loss: 0.0617, transfer_loss: -0.8308, total_Loss: -0.7692, test_loss 1.688640, test_acc: 73.9130
Epoch: [59/70], cls_loss: 0.0614, transfer_loss: -0.8303, total_Loss: -0.7689, test_loss 1.687251, test_acc: 73.7779
Epoch: [60/70], cls_loss: 0.0580, transfer_loss: -0.8328, total_Loss: -0.7748, test_loss 1.681358, test_acc: 74.0482
