Namespace(backbone='resnet50', batch_size=32, config='CoorAtt/cooratt.yaml', data_dir='/DB/rhome/yuhaowang/CV_DA/OfficeHomeDataset_10072016', device=device(type='cuda'), early_stop=15, epoch_based_training=False, lr=0.001, lr_decay=0.75, lr_gamma=0.0003, lr_scheduler=True, momentum=0.9, n_epoch=70, n_iter_per_epoch=300, num_workers=3, seed=1, src_domain='Art', tgt_domain='Product', transfer_loss='bnm', transfer_loss_weight=1.0, use_bottleneck=True, weight_decay=0.0005)
Epoch: [ 1/70], cls_loss: 2.4871, transfer_loss: -0.1703, total_Loss: 2.3168, test_loss 2.348441, test_acc: 41.0678
Epoch: [ 2/70], cls_loss: 1.2779, transfer_loss: -0.3663, total_Loss: 0.9116, test_loss 1.799660, test_acc: 53.3904
Epoch: [ 3/70], cls_loss: 0.8179, transfer_loss: -0.4810, total_Loss: 0.3368, test_loss 1.515398, test_acc: 60.6443
Epoch: [ 4/70], cls_loss: 0.5508, transfer_loss: -0.5575, total_Loss: -0.0067, test_loss 1.389121, test_acc: 64.0460
Epoch: [ 5/70], cls_loss: 0.3958, transfer_loss: -0.6119, total_Loss: -0.2160, test_loss 1.332906, test_acc: 66.0509
Epoch: [ 6/70], cls_loss: 0.2890, transfer_loss: -0.6501, total_Loss: -0.3611, test_loss 1.319729, test_acc: 67.1322
Epoch: [ 7/70], cls_loss: 0.2236, transfer_loss: -0.6768, total_Loss: -0.4532, test_loss 1.307154, test_acc: 68.2811
Epoch: [ 8/70], cls_loss: 0.1816, transfer_loss: -0.6961, total_Loss: -0.5144, test_loss 1.295932, test_acc: 69.1597
Epoch: [ 9/70], cls_loss: 0.1527, transfer_loss: -0.7108, total_Loss: -0.5581, test_loss 1.336440, test_acc: 69.2273
Epoch: [10/70], cls_loss: 0.1263, transfer_loss: -0.7278, total_Loss: -0.6015, test_loss 1.334805, test_acc: 70.1284
Epoch: [11/70], cls_loss: 0.1064, transfer_loss: -0.7411, total_Loss: -0.6346, test_loss 1.344470, test_acc: 70.6916
Epoch: [12/70], cls_loss: 0.0975, transfer_loss: -0.7467, total_Loss: -0.6492, test_loss 1.350584, test_acc: 71.0971
Epoch: [13/70], cls_loss: 0.0855, transfer_loss: -0.7567, total_Loss: -0.6712, test_loss 1.367936, test_acc: 70.8943
Epoch: [14/70], cls_loss: 0.0791, transfer_loss: -0.7680, total_Loss: -0.6889, test_loss 1.381882, test_acc: 71.5476
Epoch: [15/70], cls_loss: 0.0740, transfer_loss: -0.7724, total_Loss: -0.6984, test_loss 1.413728, test_acc: 71.5251
Epoch: [16/70], cls_loss: 0.0670, transfer_loss: -0.7761, total_Loss: -0.7090, test_loss 1.410318, test_acc: 71.5927
Epoch: [17/70], cls_loss: 0.0633, transfer_loss: -0.7847, total_Loss: -0.7214, test_loss 1.432504, test_acc: 71.8180
Epoch: [18/70], cls_loss: 0.0612, transfer_loss: -0.7864, total_Loss: -0.7252, test_loss 1.426099, test_acc: 72.3586
Epoch: [19/70], cls_loss: 0.0565, transfer_loss: -0.7898, total_Loss: -0.7333, test_loss 1.455737, test_acc: 72.0658
Epoch: [20/70], cls_loss: 0.0498, transfer_loss: -0.7932, total_Loss: -0.7434, test_loss 1.489645, test_acc: 72.2009
Epoch: [21/70], cls_loss: 0.0503, transfer_loss: -0.7979, total_Loss: -0.7476, test_loss 1.479751, test_acc: 72.3812
Epoch: [22/70], cls_loss: 0.0480, transfer_loss: -0.8002, total_Loss: -0.7522, test_loss 1.496297, test_acc: 72.4487
Epoch: [23/70], cls_loss: 0.0445, transfer_loss: -0.8041, total_Loss: -0.7596, test_loss 1.506654, test_acc: 72.4938
Epoch: [24/70], cls_loss: 0.0426, transfer_loss: -0.8073, total_Loss: -0.7647, test_loss 1.493511, test_acc: 72.7191
Epoch: [25/70], cls_loss: 0.0427, transfer_loss: -0.8060, total_Loss: -0.7633, test_loss 1.516661, test_acc: 72.7416
Epoch: [26/70], cls_loss: 0.0403, transfer_loss: -0.8056, total_Loss: -0.7652, test_loss 1.523196, test_acc: 72.6290
Epoch: [27/70], cls_loss: 0.0389, transfer_loss: -0.8040, total_Loss: -0.7651, test_loss 1.538771, test_acc: 73.0345
Epoch: [28/70], cls_loss: 0.0399, transfer_loss: -0.8132, total_Loss: -0.7733, test_loss 1.561623, test_acc: 72.9218
Epoch: [29/70], cls_loss: 0.0389, transfer_loss: -0.8116, total_Loss: -0.7727, test_loss 1.555677, test_acc: 72.8993
Epoch: [30/70], cls_loss: 0.0376, transfer_loss: -0.8113, total_Loss: -0.7738, test_loss 1.547742, test_acc: 73.1696
