Namespace(backbone='resnet50', batch_size=32, config='CoorAtt/cooratt.yaml', data_dir='/DB/rhome/yuhaowang/CV_DA/OfficeHomeDataset_10072016', device=device(type='cuda'), early_stop=15, epoch_based_training=False, lr=0.001, lr_decay=0.75, lr_gamma=0.0003, lr_scheduler=True, momentum=0.9, n_epoch=70, n_iter_per_epoch=300, num_workers=3, seed=1, src_domain='Art', tgt_domain='Real_World', transfer_loss='bnm', transfer_loss_weight=1.0, use_bottleneck=True, weight_decay=0.0005)
Epoch: [ 1/70], cls_loss: 2.4796, transfer_loss: -0.2058, total_Loss: 2.2737, test_loss 1.975980, test_acc: 52.6739
Epoch: [ 2/70], cls_loss: 1.2663, transfer_loss: -0.4091, total_Loss: 0.8571, test_loss 1.417423, test_acc: 64.0808
Epoch: [ 3/70], cls_loss: 0.8040, transfer_loss: -0.5166, total_Loss: 0.2874, test_loss 1.138413, test_acc: 70.0941
Epoch: [ 4/70], cls_loss: 0.5362, transfer_loss: -0.5855, total_Loss: -0.0493, test_loss 1.008328, test_acc: 72.4122
Epoch: [ 5/70], cls_loss: 0.3833, transfer_loss: -0.6316, total_Loss: -0.2483, test_loss 0.936286, test_acc: 74.3401
Epoch: [ 6/70], cls_loss: 0.2791, transfer_loss: -0.6676, total_Loss: -0.3885, test_loss 0.907812, test_acc: 75.3500
Epoch: [ 7/70], cls_loss: 0.2156, transfer_loss: -0.6933, total_Loss: -0.4777, test_loss 0.875880, test_acc: 76.1304
Epoch: [ 8/70], cls_loss: 0.1718, transfer_loss: -0.7082, total_Loss: -0.5364, test_loss 0.879865, test_acc: 76.6353
Epoch: [ 9/70], cls_loss: 0.1456, transfer_loss: -0.7277, total_Loss: -0.5821, test_loss 0.863869, test_acc: 77.2779
Epoch: [10/70], cls_loss: 0.1213, transfer_loss: -0.7376, total_Loss: -0.6163, test_loss 0.871809, test_acc: 77.3698
Epoch: [11/70], cls_loss: 0.1036, transfer_loss: -0.7472, total_Loss: -0.6435, test_loss 0.867363, test_acc: 77.6911
Epoch: [12/70], cls_loss: 0.0933, transfer_loss: -0.7523, total_Loss: -0.6590, test_loss 0.872786, test_acc: 78.1960
Epoch: [13/70], cls_loss: 0.0852, transfer_loss: -0.7637, total_Loss: -0.6785, test_loss 0.880990, test_acc: 78.2190
Epoch: [14/70], cls_loss: 0.0748, transfer_loss: -0.7705, total_Loss: -0.6957, test_loss 0.889823, test_acc: 78.0583
Epoch: [15/70], cls_loss: 0.0700, transfer_loss: -0.7762, total_Loss: -0.7062, test_loss 0.888843, test_acc: 78.3108
Epoch: [16/70], cls_loss: 0.0634, transfer_loss: -0.7829, total_Loss: -0.7195, test_loss 0.884279, test_acc: 78.4714
Epoch: [17/70], cls_loss: 0.0608, transfer_loss: -0.7861, total_Loss: -0.7253, test_loss 0.909798, test_acc: 78.5173
Epoch: [18/70], cls_loss: 0.0567, transfer_loss: -0.7893, total_Loss: -0.7326, test_loss 0.920422, test_acc: 78.3796
Epoch: [19/70], cls_loss: 0.0524, transfer_loss: -0.7927, total_Loss: -0.7403, test_loss 0.907735, test_acc: 78.5403
