Namespace(backbone='resnet50', batch_size=32, config='CoorAtt/cooratt.yaml', data_dir='/DB/rhome/yuhaowang/CV_DA/OfficeHomeDataset_10072016', device=device(type='cuda'), early_stop=15, epoch_based_training=False, lr=0.001, lr_decay=0.75, lr_gamma=0.0003, lr_scheduler=True, momentum=0.9, n_epoch=70, n_iter_per_epoch=300, num_workers=3, seed=1, src_domain='Clipart', tgt_domain='Art', transfer_loss='bnm', transfer_loss_weight=1.0, use_bottleneck=True, weight_decay=0.0005)
Epoch: [ 1/70], cls_loss: 2.9048, transfer_loss: -0.1362, total_Loss: 2.7686, test_loss 2.612106, test_acc: 39.8846
Epoch: [ 2/70], cls_loss: 1.6869, transfer_loss: -0.3065, total_Loss: 1.3804, test_loss 2.101190, test_acc: 49.6910
Epoch: [ 3/70], cls_loss: 1.1634, transfer_loss: -0.4134, total_Loss: 0.7500, test_loss 1.839903, test_acc: 53.5229
Epoch: [ 4/70], cls_loss: 0.8704, transfer_loss: -0.4914, total_Loss: 0.3790, test_loss 1.696206, test_acc: 56.0363
Epoch: [ 5/70], cls_loss: 0.6809, transfer_loss: -0.5427, total_Loss: 0.1381, test_loss 1.621975, test_acc: 58.4260
Epoch: [ 6/70], cls_loss: 0.5621, transfer_loss: -0.5870, total_Loss: -0.0249, test_loss 1.588593, test_acc: 60.3214
Epoch: [ 7/70], cls_loss: 0.4586, transfer_loss: -0.6117, total_Loss: -0.1531, test_loss 1.579107, test_acc: 61.3103
Epoch: [ 8/70], cls_loss: 0.3807, transfer_loss: -0.6452, total_Loss: -0.2645, test_loss 1.576601, test_acc: 61.9695
Epoch: [ 9/70], cls_loss: 0.3389, transfer_loss: -0.6617, total_Loss: -0.3228, test_loss 1.620710, test_acc: 62.2579
Epoch: [10/70], cls_loss: 0.2935, transfer_loss: -0.6776, total_Loss: -0.3842, test_loss 1.630104, test_acc: 62.2579
Epoch: [11/70], cls_loss: 0.2637, transfer_loss: -0.6960, total_Loss: -0.4323, test_loss 1.643110, test_acc: 63.3704
Epoch: [12/70], cls_loss: 0.2315, transfer_loss: -0.7068, total_Loss: -0.4753, test_loss 1.675959, test_acc: 62.5051
