Namespace(backbone='resnet50', batch_size=32, config='CoorAtt/cooratt.yaml', data_dir='/DB/rhome/yuhaowang/CV_DA/OfficeHomeDataset_10072016', device=device(type='cuda'), early_stop=15, epoch_based_training=False, lr=0.001, lr_decay=0.75, lr_gamma=0.0003, lr_scheduler=True, momentum=0.9, n_epoch=70, n_iter_per_epoch=300, num_workers=3, seed=1, src_domain='Clipart', tgt_domain='Real_World', transfer_loss='bnm', transfer_loss_weight=1.0, use_bottleneck=True, weight_decay=0.0005)
Epoch: [ 1/70], cls_loss: 2.8965, transfer_loss: -0.1564, total_Loss: 2.7401, test_loss 2.304318, test_acc: 46.7523
Epoch: [ 2/70], cls_loss: 1.6649, transfer_loss: -0.3583, total_Loss: 1.3066, test_loss 1.714218, test_acc: 58.0675
Epoch: [ 3/70], cls_loss: 1.1494, transfer_loss: -0.4751, total_Loss: 0.6744, test_loss 1.451597, test_acc: 62.9791
Epoch: [ 4/70], cls_loss: 0.8640, transfer_loss: -0.5490, total_Loss: 0.3149, test_loss 1.316466, test_acc: 65.9169
Epoch: [ 5/70], cls_loss: 0.6654, transfer_loss: -0.5981, total_Loss: 0.0673, test_loss 1.222906, test_acc: 68.4645
Epoch: [ 6/70], cls_loss: 0.5448, transfer_loss: -0.6351, total_Loss: -0.0903, test_loss 1.192484, test_acc: 69.6810
Epoch: [ 7/70], cls_loss: 0.4306, transfer_loss: -0.6616, total_Loss: -0.2310, test_loss 1.160572, test_acc: 70.7826
Epoch: [ 8/70], cls_loss: 0.3753, transfer_loss: -0.6848, total_Loss: -0.3095, test_loss 1.135775, test_acc: 71.4712
Epoch: [ 9/70], cls_loss: 0.3396, transfer_loss: -0.6990, total_Loss: -0.3593, test_loss 1.126585, test_acc: 72.0679
Epoch: [10/70], cls_loss: 0.2840, transfer_loss: -0.7155, total_Loss: -0.4315, test_loss 1.097170, test_acc: 72.4122
Epoch: [11/70], cls_loss: 0.2527, transfer_loss: -0.7310, total_Loss: -0.4784, test_loss 1.123612, test_acc: 72.5729
Epoch: [12/70], cls_loss: 0.2252, transfer_loss: -0.7370, total_Loss: -0.5117, test_loss 1.128407, test_acc: 72.9630
Epoch: [13/70], cls_loss: 0.2114, transfer_loss: -0.7439, total_Loss: -0.5325, test_loss 1.118344, test_acc: 73.3762
Epoch: [14/70], cls_loss: 0.1926, transfer_loss: -0.7518, total_Loss: -0.5592, test_loss 1.151820, test_acc: 73.6975
Epoch: [15/70], cls_loss: 0.1772, transfer_loss: -0.7595, total_Loss: -0.5823, test_loss 1.133936, test_acc: 73.6745
Epoch: [16/70], cls_loss: 0.1630, transfer_loss: -0.7698, total_Loss: -0.6069, test_loss 1.139864, test_acc: 73.6516
Epoch: [17/70], cls_loss: 0.1590, transfer_loss: -0.7655, total_Loss: -0.6064, test_loss 1.147133, test_acc: 74.0877
Epoch: [18/70], cls_loss: 0.1417, transfer_loss: -0.7724, total_Loss: -0.6307, test_loss 1.164699, test_acc: 74.2713
Epoch: [19/70], cls_loss: 0.1318, transfer_loss: -0.7807, total_Loss: -0.6489, test_loss 1.172800, test_acc: 74.5008
Epoch: [20/70], cls_loss: 0.1277, transfer_loss: -0.7831, total_Loss: -0.6554, test_loss 1.193549, test_acc: 74.2942
