Namespace(backbone='resnet50', batch_size=32, config='CoorAtt/cooratt.yaml', data_dir='/DB/rhome/yuhaowang/CV_DA/OfficeHomeDataset_10072016', device=device(type='cuda'), early_stop=15, epoch_based_training=False, lr=0.001, lr_decay=0.75, lr_gamma=0.0003, lr_scheduler=True, momentum=0.9, n_epoch=70, n_iter_per_epoch=300, num_workers=3, seed=1, src_domain='Product', tgt_domain='Clipart', transfer_loss='bnm', transfer_loss_weight=1.0, use_bottleneck=True, weight_decay=0.0005)
Epoch: [ 1/70], cls_loss: 2.2462, transfer_loss: -0.1383, total_Loss: 2.1079, test_loss 2.640987, test_acc: 39.4960
Epoch: [ 2/70], cls_loss: 0.9614, transfer_loss: -0.3052, total_Loss: 0.6562, test_loss 2.281536, test_acc: 46.0710
Epoch: [ 3/70], cls_loss: 0.5936, transfer_loss: -0.4155, total_Loss: 0.1781, test_loss 2.127910, test_acc: 49.0722
Epoch: [ 4/70], cls_loss: 0.4189, transfer_loss: -0.4852, total_Loss: -0.0663, test_loss 2.116919, test_acc: 49.5074
Epoch: [ 5/70], cls_loss: 0.3208, transfer_loss: -0.5374, total_Loss: -0.2166, test_loss 2.153603, test_acc: 50.1260
Epoch: [ 6/70], cls_loss: 0.2642, transfer_loss: -0.5776, total_Loss: -0.3133, test_loss 2.154265, test_acc: 50.4926
Epoch: [ 7/70], cls_loss: 0.2123, transfer_loss: -0.6131, total_Loss: -0.4008, test_loss 2.189468, test_acc: 50.9049
Epoch: [ 8/70], cls_loss: 0.1826, transfer_loss: -0.6337, total_Loss: -0.4512, test_loss 2.229115, test_acc: 51.5235
Epoch: [ 9/70], cls_loss: 0.1577, transfer_loss: -0.6530, total_Loss: -0.4953, test_loss 2.281867, test_acc: 51.5006
Epoch: [10/70], cls_loss: 0.1411, transfer_loss: -0.6724, total_Loss: -0.5313, test_loss 2.343530, test_acc: 51.8213
Epoch: [11/70], cls_loss: 0.1212, transfer_loss: -0.6910, total_Loss: -0.5698, test_loss 2.365118, test_acc: 51.9817
Epoch: [12/70], cls_loss: 0.1142, transfer_loss: -0.6962, total_Loss: -0.5819, test_loss 2.407501, test_acc: 51.8213
Epoch: [13/70], cls_loss: 0.1021, transfer_loss: -0.7083, total_Loss: -0.6062, test_loss 2.445426, test_acc: 52.3024
Epoch: [14/70], cls_loss: 0.0925, transfer_loss: -0.7180, total_Loss: -0.6255, test_loss 2.498808, test_acc: 52.3253
Epoch: [15/70], cls_loss: 0.0840, transfer_loss: -0.7247, total_Loss: -0.6407, test_loss 2.566041, test_acc: 52.0046
Epoch: [16/70], cls_loss: 0.0809, transfer_loss: -0.7308, total_Loss: -0.6499, test_loss 2.571659, test_acc: 51.7755
Epoch: [17/70], cls_loss: 0.0728, transfer_loss: -0.7378, total_Loss: -0.6650, test_loss 2.614357, test_acc: 52.0046
Epoch: [18/70], cls_loss: 0.0748, transfer_loss: -0.7435, total_Loss: -0.6687, test_loss 2.653735, test_acc: 52.6460
Epoch: [19/70], cls_loss: 0.0671, transfer_loss: -0.7506, total_Loss: -0.6835, test_loss 2.702278, test_acc: 52.1191
Epoch: [20/70], cls_loss: 0.0622, transfer_loss: -0.7582, total_Loss: -0.6959, test_loss 2.696973, test_acc: 52.2795
