Namespace(backbone='resnet50', batch_size=32, config='CoorAtt/cooratt.yaml', data_dir='/DB/rhome/yuhaowang/CV_DA/OfficeHomeDataset_10072016', device=device(type='cuda'), early_stop=15, epoch_based_training=False, lr=0.001, lr_decay=0.75, lr_gamma=0.0003, lr_scheduler=True, momentum=0.9, n_epoch=70, n_iter_per_epoch=300, num_workers=3, seed=1, src_domain='Product', tgt_domain='Real_World', transfer_loss='bnm', transfer_loss_weight=1.0, use_bottleneck=True, weight_decay=0.0005)
Epoch: [ 1/70], cls_loss: 2.2317, transfer_loss: -0.1912, total_Loss: 2.0404, test_loss 1.751264, test_acc: 62.9791
Epoch: [ 2/70], cls_loss: 0.9363, transfer_loss: -0.4260, total_Loss: 0.5103, test_loss 1.207121, test_acc: 71.6319
Epoch: [ 3/70], cls_loss: 0.5690, transfer_loss: -0.5408, total_Loss: 0.0281, test_loss 1.003222, test_acc: 74.7303
Epoch: [ 4/70], cls_loss: 0.3985, transfer_loss: -0.6091, total_Loss: -0.2106, test_loss 0.915125, test_acc: 76.6123
Epoch: [ 5/70], cls_loss: 0.3039, transfer_loss: -0.6504, total_Loss: -0.3465, test_loss 0.849261, test_acc: 77.8058
Epoch: [ 6/70], cls_loss: 0.2492, transfer_loss: -0.6817, total_Loss: -0.4326, test_loss 0.816035, test_acc: 78.5173
Epoch: [ 7/70], cls_loss: 0.2008, transfer_loss: -0.7040, total_Loss: -0.5032, test_loss 0.812175, test_acc: 78.7009
Epoch: [ 8/70], cls_loss: 0.1720, transfer_loss: -0.7197, total_Loss: -0.5477, test_loss 0.802829, test_acc: 79.1600
Epoch: [ 9/70], cls_loss: 0.1481, transfer_loss: -0.7348, total_Loss: -0.5867, test_loss 0.792794, test_acc: 79.5731
Epoch: [10/70], cls_loss: 0.1331, transfer_loss: -0.7432, total_Loss: -0.6101, test_loss 0.809199, test_acc: 79.7567
Epoch: [11/70], cls_loss: 0.1119, transfer_loss: -0.7555, total_Loss: -0.6436, test_loss 0.793957, test_acc: 80.0092
Epoch: [12/70], cls_loss: 0.1070, transfer_loss: -0.7621, total_Loss: -0.6550, test_loss 0.798847, test_acc: 80.1928
Epoch: [13/70], cls_loss: 0.0945, transfer_loss: -0.7719, total_Loss: -0.6775, test_loss 0.801221, test_acc: 80.4682
Epoch: [14/70], cls_loss: 0.0881, transfer_loss: -0.7761, total_Loss: -0.6879, test_loss 0.808749, test_acc: 80.6977
Epoch: [15/70], cls_loss: 0.0800, transfer_loss: -0.7782, total_Loss: -0.6982, test_loss 0.819750, test_acc: 80.8125
Epoch: [16/70], cls_loss: 0.0754, transfer_loss: -0.7847, total_Loss: -0.7093, test_loss 0.824641, test_acc: 80.7895
Epoch: [17/70], cls_loss: 0.0681, transfer_loss: -0.7901, total_Loss: -0.7220, test_loss 0.826483, test_acc: 80.6289
Epoch: [18/70], cls_loss: 0.0702, transfer_loss: -0.7952, total_Loss: -0.7250, test_loss 0.831049, test_acc: 80.9272
Epoch: [19/70], cls_loss: 0.0631, transfer_loss: -0.7953, total_Loss: -0.7322, test_loss 0.847698, test_acc: 80.8813
Epoch: [20/70], cls_loss: 0.0593, transfer_loss: -0.7978, total_Loss: -0.7385, test_loss 0.850316, test_acc: 81.0420
