Namespace(backbone='resnet50', batch_size=32, config='CoorAtt/cooratt.yaml', data_dir='/DB/rhome/yuhaowang/CV_DA/OfficeHomeDataset_10072016', device=device(type='cuda'), early_stop=15, epoch_based_training=False, lr=0.001, lr_decay=0.75, lr_gamma=0.0003, lr_scheduler=True, momentum=0.9, n_epoch=70, n_iter_per_epoch=300, num_workers=3, seed=1, src_domain='Real_World', tgt_domain='Art', transfer_loss='bnm', transfer_loss_weight=1.0, use_bottleneck=True, weight_decay=0.0005)
Epoch: [ 1/70], cls_loss: 2.3368, transfer_loss: -0.1801, total_Loss: 2.1567, test_loss 1.954932, test_acc: 60.5686
Epoch: [ 2/70], cls_loss: 1.0680, transfer_loss: -0.3865, total_Loss: 0.6815, test_loss 1.496133, test_acc: 66.6255
Epoch: [ 3/70], cls_loss: 0.7083, transfer_loss: -0.4995, total_Loss: 0.2088, test_loss 1.326141, test_acc: 68.6444
Epoch: [ 4/70], cls_loss: 0.5212, transfer_loss: -0.5701, total_Loss: -0.0489, test_loss 1.239228, test_acc: 68.6856
Epoch: [ 5/70], cls_loss: 0.4108, transfer_loss: -0.6129, total_Loss: -0.2021, test_loss 1.200802, test_acc: 69.3449
Epoch: [ 6/70], cls_loss: 0.3362, transfer_loss: -0.6482, total_Loss: -0.3119, test_loss 1.184976, test_acc: 70.0453
Epoch: [ 7/70], cls_loss: 0.2859, transfer_loss: -0.6659, total_Loss: -0.3800, test_loss 1.192853, test_acc: 69.6745
Epoch: [ 8/70], cls_loss: 0.2442, transfer_loss: -0.6903, total_Loss: -0.4461, test_loss 1.197615, test_acc: 71.0342
Epoch: [ 9/70], cls_loss: 0.2166, transfer_loss: -0.7061, total_Loss: -0.4895, test_loss 1.220637, test_acc: 70.9930
Epoch: [10/70], cls_loss: 0.1874, transfer_loss: -0.7176, total_Loss: -0.5302, test_loss 1.259548, test_acc: 70.4162
Epoch: [11/70], cls_loss: 0.1691, transfer_loss: -0.7306, total_Loss: -0.5614, test_loss 1.264933, test_acc: 70.9930
Epoch: [12/70], cls_loss: 0.1602, transfer_loss: -0.7397, total_Loss: -0.5795, test_loss 1.306867, test_acc: 70.9518
Epoch: [13/70], cls_loss: 0.1338, transfer_loss: -0.7470, total_Loss: -0.6132, test_loss 1.300568, test_acc: 71.4050
Epoch: [14/70], cls_loss: 0.1295, transfer_loss: -0.7554, total_Loss: -0.6260, test_loss 1.337805, test_acc: 71.8583
Epoch: [15/70], cls_loss: 0.1182, transfer_loss: -0.7664, total_Loss: -0.6482, test_loss 1.347593, test_acc: 71.7759
Epoch: [16/70], cls_loss: 0.1100, transfer_loss: -0.7687, total_Loss: -0.6587, test_loss 1.373593, test_acc: 71.5698
