Namespace(backbone='resnet50', batch_size=32, config='CoorAtt/cooratt.yaml', data_dir='/DB/rhome/yuhaowang/CV_DA/OfficeHomeDataset_10072016', device=device(type='cuda'), early_stop=15, epoch_based_training=False, lr=0.001, lr_decay=0.75, lr_gamma=0.0003, lr_scheduler=True, momentum=0.9, n_epoch=200, n_iter_per_epoch=300, num_workers=3, seed=1, src_domain='Clipart', tgt_domain='Real_World', transfer_loss='bnm', transfer_loss_weight=1.0, use_bottleneck=True, weight_decay=0.0005)
Epoch: [ 1/200], cls_loss: 2.8960, transfer_loss: -0.1564, total_Loss: 2.7396, test_loss 2.305018, test_acc: 46.7753
Epoch: [ 2/200], cls_loss: 1.6649, transfer_loss: -0.3583, total_Loss: 1.3065, test_loss 1.714437, test_acc: 57.8380
Epoch: [ 3/200], cls_loss: 1.1490, transfer_loss: -0.4751, total_Loss: 0.6740, test_loss 1.453920, test_acc: 62.9332
Epoch: [ 4/200], cls_loss: 0.8636, transfer_loss: -0.5491, total_Loss: 0.3145, test_loss 1.318593, test_acc: 65.9628
Epoch: [ 5/200], cls_loss: 0.6648, transfer_loss: -0.5981, total_Loss: 0.0667, test_loss 1.221914, test_acc: 68.6481
Epoch: [ 6/200], cls_loss: 0.5446, transfer_loss: -0.6352, total_Loss: -0.0907, test_loss 1.190778, test_acc: 69.6810
Epoch: [ 7/200], cls_loss: 0.4301, transfer_loss: -0.6616, total_Loss: -0.2315, test_loss 1.160787, test_acc: 70.6908
Epoch: [ 8/200], cls_loss: 0.3752, transfer_loss: -0.6848, total_Loss: -0.3096, test_loss 1.135207, test_acc: 71.2417
Epoch: [ 9/200], cls_loss: 0.3395, transfer_loss: -0.6992, total_Loss: -0.3597, test_loss 1.125357, test_acc: 72.2056
Epoch: [10/200], cls_loss: 0.2836, transfer_loss: -0.7156, total_Loss: -0.4320, test_loss 1.096337, test_acc: 72.4122
Epoch: [11/200], cls_loss: 0.2521, transfer_loss: -0.7312, total_Loss: -0.4791, test_loss 1.121172, test_acc: 72.5040
Epoch: [12/200], cls_loss: 0.2254, transfer_loss: -0.7371, total_Loss: -0.5117, test_loss 1.127344, test_acc: 73.0549
Epoch: [13/200], cls_loss: 0.2115, transfer_loss: -0.7439, total_Loss: -0.5324, test_loss 1.118882, test_acc: 73.2385
Epoch: [14/200], cls_loss: 0.1927, transfer_loss: -0.7520, total_Loss: -0.5593, test_loss 1.152691, test_acc: 73.5827
Epoch: [15/200], cls_loss: 0.1769, transfer_loss: -0.7596, total_Loss: -0.5827, test_loss 1.134094, test_acc: 73.5139
Epoch: [16/200], cls_loss: 0.1629, transfer_loss: -0.7701, total_Loss: -0.6071, test_loss 1.140214, test_acc: 73.7893
Epoch: [17/200], cls_loss: 0.1593, transfer_loss: -0.7655, total_Loss: -0.6063, test_loss 1.147737, test_acc: 74.0877
Epoch: [18/200], cls_loss: 0.1424, transfer_loss: -0.7726, total_Loss: -0.6302, test_loss 1.164987, test_acc: 74.2254
Epoch: [19/200], cls_loss: 0.1317, transfer_loss: -0.7809, total_Loss: -0.6492, test_loss 1.172116, test_acc: 74.3631
