Namespace(backbone='resnet50', batch_size=32, config='CoorAtt/cooratt.yaml', data_dir='/DB/rhome/yuhaowang/CV_DA/OfficeHomeDataset_10072016', device=device(type='cuda'), early_stop=0, epoch_based_training=False, lr=0.001, lr_decay=0.75, lr_gamma=0.0003, lr_scheduler=True, momentum=0.9, n_epoch=100, n_iter_per_epoch=300, num_workers=3, seed=1, src_domain='Art', tgt_domain='Real_World', transfer_loss='bnm', transfer_loss_weight=1.0, use_bottleneck=True, weight_decay=0.0005)
Epoch: [ 1/100], cls_loss: 2.4320, transfer_loss: -0.2136, total_Loss: 2.2184, test_loss 1.909086, test_acc: 53.8903
Epoch: [ 2/100], cls_loss: 1.2084, transfer_loss: -0.4241, total_Loss: 0.7843, test_loss 1.354875, test_acc: 65.5497
Epoch: [ 3/100], cls_loss: 0.7578, transfer_loss: -0.5333, total_Loss: 0.2245, test_loss 1.097718, test_acc: 70.7367
Epoch: [ 4/100], cls_loss: 0.5016, transfer_loss: -0.5999, total_Loss: -0.0983, test_loss 0.977447, test_acc: 73.3303
Epoch: [ 5/100], cls_loss: 0.3564, transfer_loss: -0.6439, total_Loss: -0.2875, test_loss 0.912973, test_acc: 75.0516
Epoch: [ 6/100], cls_loss: 0.2603, transfer_loss: -0.6778, total_Loss: -0.4175, test_loss 0.886358, test_acc: 75.5336
Epoch: [ 7/100], cls_loss: 0.1999, transfer_loss: -0.7025, total_Loss: -0.5026, test_loss 0.856107, test_acc: 76.3140
Epoch: [ 8/100], cls_loss: 0.1599, transfer_loss: -0.7160, total_Loss: -0.5562, test_loss 0.862640, test_acc: 76.7042
Epoch: [ 9/100], cls_loss: 0.1340, transfer_loss: -0.7355, total_Loss: -0.6014, test_loss 0.851124, test_acc: 77.3238
Epoch: [10/100], cls_loss: 0.1117, transfer_loss: -0.7445, total_Loss: -0.6329, test_loss 0.852343, test_acc: 77.7829
Epoch: [11/100], cls_loss: 0.0955, transfer_loss: -0.7543, total_Loss: -0.6589, test_loss 0.848500, test_acc: 78.0812
Epoch: [12/100], cls_loss: 0.0868, transfer_loss: -0.7585, total_Loss: -0.6717, test_loss 0.854155, test_acc: 78.4485
Epoch: [13/100], cls_loss: 0.0787, transfer_loss: -0.7692, total_Loss: -0.6905, test_loss 0.861759, test_acc: 78.8157
Epoch: [14/100], cls_loss: 0.0695, transfer_loss: -0.7754, total_Loss: -0.7060, test_loss 0.870797, test_acc: 78.5403
Epoch: [15/100], cls_loss: 0.0649, transfer_loss: -0.7812, total_Loss: -0.7163, test_loss 0.872026, test_acc: 78.7698
Epoch: [16/100], cls_loss: 0.0592, transfer_loss: -0.7881, total_Loss: -0.7289, test_loss 0.871230, test_acc: 78.7468
Epoch: [17/100], cls_loss: 0.0562, transfer_loss: -0.7906, total_Loss: -0.7344, test_loss 0.893469, test_acc: 78.9305
Epoch: [18/100], cls_loss: 0.0527, transfer_loss: -0.7945, total_Loss: -0.7419, test_loss 0.898024, test_acc: 79.0223
Epoch: [19/100], cls_loss: 0.0489, transfer_loss: -0.7969, total_Loss: -0.7480, test_loss 0.891744, test_acc: 79.2059
Epoch: [20/100], cls_loss: 0.0463, transfer_loss: -0.8016, total_Loss: -0.7553, test_loss 0.905877, test_acc: 79.3665
Epoch: [21/100], cls_loss: 0.0454, transfer_loss: -0.7988, total_Loss: -0.7535, test_loss 0.907157, test_acc: 79.4583
Epoch: [22/100], cls_loss: 0.0453, transfer_loss: -0.8064, total_Loss: -0.7611, test_loss 0.933522, test_acc: 79.3436
Epoch: [23/100], cls_loss: 0.0412, transfer_loss: -0.8094, total_Loss: -0.7682, test_loss 0.931554, test_acc: 79.3665
Epoch: [24/100], cls_loss: 0.0396, transfer_loss: -0.8110, total_Loss: -0.7714, test_loss 0.930630, test_acc: 79.5272
Epoch: [25/100], cls_loss: 0.0378, transfer_loss: -0.8110, total_Loss: -0.7732, test_loss 0.938927, test_acc: 79.7108
Epoch: [26/100], cls_loss: 0.0364, transfer_loss: -0.8155, total_Loss: -0.7791, test_loss 0.941670, test_acc: 79.5272
Epoch: [27/100], cls_loss: 0.0364, transfer_loss: -0.8171, total_Loss: -0.7807, test_loss 0.937699, test_acc: 79.5501
Epoch: [28/100], cls_loss: 0.0352, transfer_loss: -0.8191, total_Loss: -0.7839, test_loss 0.949952, test_acc: 79.8944
