Namespace(backbone='resnet50', batch_size=32, config='DAAN/DAAN.yaml', data_dir='/DB/rhome/yuhaowang/CV_DA/OfficeHomeDataset_10072016', device=device(type='cuda'), early_stop=0, epoch_based_training=False, lr=0.01, lr_decay=0.75, lr_gamma=0.0003, lr_scheduler=True, momentum=0.9, n_epoch=20, n_iter_per_epoch=500, num_workers=3, seed=1, src_domain='Product', tgt_domain='Real_World', transfer_loss='daan', transfer_loss_weight=1.0, use_bottleneck=True, weight_decay=0.0005)
Epoch: [ 1/20], cls_loss: 0.9209, transfer_loss: 0.1632, total_Loss: 1.0841, test_loss 1.033084, test_acc: 72.1597
Epoch: [ 2/20], cls_loss: 0.0936, transfer_loss: 0.1108, total_Loss: 0.2044, test_loss 1.104453, test_acc: 72.1597
Epoch: [ 3/20], cls_loss: 0.0360, transfer_loss: 0.0867, total_Loss: 0.1226, test_loss 1.079279, test_acc: 73.2385
Epoch: [ 4/20], cls_loss: 0.0271, transfer_loss: 0.0733, total_Loss: 0.1004, test_loss 1.102300, test_acc: 73.0778
Epoch: [ 5/20], cls_loss: 0.0202, transfer_loss: 0.0650, total_Loss: 0.0852, test_loss 1.097082, test_acc: 72.6417
Epoch: [ 6/20], cls_loss: 0.0176, transfer_loss: 0.0595, total_Loss: 0.0771, test_loss 1.127309, test_acc: 72.4581
Epoch: [ 7/20], cls_loss: 0.0167, transfer_loss: 0.0556, total_Loss: 0.0722, test_loss 1.121788, test_acc: 72.6647
Epoch: [ 8/20], cls_loss: 0.0156, transfer_loss: 0.0526, total_Loss: 0.0682, test_loss 1.117169, test_acc: 72.8253
Epoch: [ 9/20], cls_loss: 0.0144, transfer_loss: 0.0506, total_Loss: 0.0650, test_loss 1.162621, test_acc: 72.6647
Epoch: [10/20], cls_loss: 0.0134, transfer_loss: 0.0488, total_Loss: 0.0622, test_loss 1.115550, test_acc: 72.6417
Epoch: [11/20], cls_loss: 0.0130, transfer_loss: 0.0475, total_Loss: 0.0605, test_loss 1.145767, test_acc: 71.7007
Epoch: [12/20], cls_loss: 0.0133, transfer_loss: 0.0464, total_Loss: 0.0597, test_loss 1.116501, test_acc: 72.0679
Epoch: [13/20], cls_loss: 0.0122, transfer_loss: 0.0455, total_Loss: 0.0577, test_loss 1.141389, test_acc: 71.8384
Epoch: [14/20], cls_loss: 0.0127, transfer_loss: 0.0446, total_Loss: 0.0573, test_loss 1.150224, test_acc: 71.7237
Epoch: [15/20], cls_loss: 0.0133, transfer_loss: 0.0440, total_Loss: 0.0573, test_loss 1.146663, test_acc: 72.0909
Epoch: [16/20], cls_loss: 0.0121, transfer_loss: 0.0433, total_Loss: 0.0554, test_loss 1.133873, test_acc: 71.6778
Epoch: [17/20], cls_loss: 0.0119, transfer_loss: 0.0428, total_Loss: 0.0548, test_loss 1.147663, test_acc: 72.0679
Epoch: [18/20], cls_loss: 0.0121, transfer_loss: 0.0425, total_Loss: 0.0546, test_loss 1.136333, test_acc: 72.1138
Epoch: [19/20], cls_loss: 0.0118, transfer_loss: 0.0420, total_Loss: 0.0538, test_loss 1.145070, test_acc: 71.7925
Epoch: [20/20], cls_loss: 0.0112, transfer_loss: 0.0417, total_Loss: 0.0529, test_loss 1.156950, test_acc: 71.2876
Transfer result: 73.2385
