Namespace(backbone='resnet50', batch_size=32, config='DeepCoral/DeepCoral.yaml', data_dir='/DB/rhome/yuhaowang/CV_DA/OfficeHomeDataset_10072016/', device=device(type='cuda'), early_stop=0, epoch_based_training=False, lr=0.003, lr_decay=0.75, lr_gamma=0.0003, lr_scheduler=True, momentum=0.9, n_epoch=20, n_iter_per_epoch=500, num_workers=3, seed=1, src_domain='Clipart', tgt_domain='Real_World', transfer_loss='coral', transfer_loss_weight=10.0, use_bottleneck=True, weight_decay=0.0005)
Epoch: [ 1/20], cls_loss: 2.4877, transfer_loss: 0.0018, total_Loss: 2.5061, test_loss 1.502183, test_acc: 59.4446
Epoch: [ 2/20], cls_loss: 0.8129, transfer_loss: 0.0053, total_Loss: 0.8660, test_loss 1.280609, test_acc: 63.6447
Epoch: [ 3/20], cls_loss: 0.4276, transfer_loss: 0.0057, total_Loss: 0.4849, test_loss 1.235092, test_acc: 65.3202
Epoch: [ 4/20], cls_loss: 0.2695, transfer_loss: 0.0055, total_Loss: 0.3243, test_loss 1.217964, test_acc: 66.6284
Epoch: [ 5/20], cls_loss: 0.1980, transfer_loss: 0.0052, total_Loss: 0.2498, test_loss 1.210705, test_acc: 66.9956
Epoch: [ 6/20], cls_loss: 0.1518, transfer_loss: 0.0049, total_Loss: 0.2004, test_loss 1.243077, test_acc: 67.0874
Epoch: [ 7/20], cls_loss: 0.1255, transfer_loss: 0.0046, total_Loss: 0.1710, test_loss 1.240550, test_acc: 66.7891
Epoch: [ 8/20], cls_loss: 0.1095, transfer_loss: 0.0043, total_Loss: 0.1522, test_loss 1.250563, test_acc: 66.8120
Epoch: [ 9/20], cls_loss: 0.0994, transfer_loss: 0.0040, total_Loss: 0.1397, test_loss 1.279167, test_acc: 66.4448
Epoch: [10/20], cls_loss: 0.0886, transfer_loss: 0.0038, total_Loss: 0.1266, test_loss 1.265438, test_acc: 66.7432
Epoch: [11/20], cls_loss: 0.0828, transfer_loss: 0.0036, total_Loss: 0.1191, test_loss 1.285146, test_acc: 67.1333
Epoch: [12/20], cls_loss: 0.0802, transfer_loss: 0.0035, total_Loss: 0.1150, test_loss 1.274173, test_acc: 66.3071
Epoch: [13/20], cls_loss: 0.0736, transfer_loss: 0.0034, total_Loss: 0.1073, test_loss 1.298109, test_acc: 66.4448
Epoch: [14/20], cls_loss: 0.0716, transfer_loss: 0.0033, total_Loss: 0.1041, test_loss 1.288569, test_acc: 66.7202
Epoch: [15/20], cls_loss: 0.0685, transfer_loss: 0.0031, total_Loss: 0.0998, test_loss 1.300807, test_acc: 66.1005
Epoch: [16/20], cls_loss: 0.0662, transfer_loss: 0.0030, total_Loss: 0.0967, test_loss 1.306472, test_acc: 66.0317
Epoch: [17/20], cls_loss: 0.0636, transfer_loss: 0.0030, total_Loss: 0.0933, test_loss 1.292082, test_acc: 66.5137
Epoch: [18/20], cls_loss: 0.0615, transfer_loss: 0.0029, total_Loss: 0.0907, test_loss 1.309858, test_acc: 66.5825
Epoch: [19/20], cls_loss: 0.0608, transfer_loss: 0.0028, total_Loss: 0.0890, test_loss 1.306121, test_acc: 66.1923
Epoch: [20/20], cls_loss: 0.0573, transfer_loss: 0.0028, total_Loss: 0.0851, test_loss 1.294766, test_acc: 66.8120
Transfer result: 67.1333
