Namespace(backbone='resnet50', batch_size=32, config='TwoWayAtt/twowayatt.yaml', data_dir='/DB/rhome/yuhaowang/CV_DA/OfficeHomeDataset_10072016', device=device(type='cuda'), early_stop=0, epoch_based_training=False, lr=0.001, lr_decay=0.75, lr_gamma=0.0003, lr_scheduler=True, momentum=0.9, n_epoch=100, n_iter_per_epoch=300, num_workers=3, seed=1, src_domain='Art', tgt_domain='Real_World', transfer_loss='bnm', transfer_loss_weight=1.0, use_bottleneck=True, weight_decay=0.0005)
Epoch: [ 1/100], cls_loss: 2.4915, transfer_loss: -0.2059, total_Loss: 2.2856, test_loss 1.969797, test_acc: 53.7755
Epoch: [ 2/100], cls_loss: 1.2685, transfer_loss: -0.4113, total_Loss: 0.8573, test_loss 1.398104, test_acc: 65.4120
Epoch: [ 3/100], cls_loss: 0.8035, transfer_loss: -0.5173, total_Loss: 0.2862, test_loss 1.135404, test_acc: 70.3236
Epoch: [ 4/100], cls_loss: 0.5388, transfer_loss: -0.5885, total_Loss: -0.0496, test_loss 1.012243, test_acc: 73.1926
Epoch: [ 5/100], cls_loss: 0.3799, transfer_loss: -0.6344, total_Loss: -0.2545, test_loss 0.954063, test_acc: 74.1565
Epoch: [ 6/100], cls_loss: 0.2747, transfer_loss: -0.6658, total_Loss: -0.3912, test_loss 0.921139, test_acc: 74.9139
Epoch: [ 7/100], cls_loss: 0.2117, transfer_loss: -0.6877, total_Loss: -0.4760, test_loss 0.910956, test_acc: 75.5107
Epoch: [ 8/100], cls_loss: 0.1693, transfer_loss: -0.7083, total_Loss: -0.5389, test_loss 0.893627, test_acc: 76.3599
Epoch: [ 9/100], cls_loss: 0.1404, transfer_loss: -0.7269, total_Loss: -0.5865, test_loss 0.885142, test_acc: 76.6582
Epoch: [10/100], cls_loss: 0.1199, transfer_loss: -0.7372, total_Loss: -0.6173, test_loss 0.905553, test_acc: 76.9337
Epoch: [11/100], cls_loss: 0.1021, transfer_loss: -0.7448, total_Loss: -0.6427, test_loss 0.886895, test_acc: 77.1402
Epoch: [12/100], cls_loss: 0.0926, transfer_loss: -0.7542, total_Loss: -0.6616, test_loss 0.895986, test_acc: 77.1632
Epoch: [13/100], cls_loss: 0.0790, transfer_loss: -0.7595, total_Loss: -0.6804, test_loss 0.894397, test_acc: 77.5993
Epoch: [14/100], cls_loss: 0.0746, transfer_loss: -0.7678, total_Loss: -0.6932, test_loss 0.899184, test_acc: 77.5075
Epoch: [15/100], cls_loss: 0.0664, transfer_loss: -0.7751, total_Loss: -0.7088, test_loss 0.909696, test_acc: 77.6452
Epoch: [16/100], cls_loss: 0.0662, transfer_loss: -0.7775, total_Loss: -0.7114, test_loss 0.911269, test_acc: 78.0124
Epoch: [17/100], cls_loss: 0.0591, transfer_loss: -0.7820, total_Loss: -0.7229, test_loss 0.908027, test_acc: 78.1272
Epoch: [18/100], cls_loss: 0.0552, transfer_loss: -0.7856, total_Loss: -0.7304, test_loss 0.902784, test_acc: 78.4255
Epoch: [19/100], cls_loss: 0.0507, transfer_loss: -0.7907, total_Loss: -0.7400, test_loss 0.921441, test_acc: 78.3337
Epoch: [20/100], cls_loss: 0.0529, transfer_loss: -0.7963, total_Loss: -0.7434, test_loss 0.948791, test_acc: 78.3108
Epoch: [21/100], cls_loss: 0.0482, transfer_loss: -0.7963, total_Loss: -0.7481, test_loss 0.944284, test_acc: 78.3108
Epoch: [22/100], cls_loss: 0.0461, transfer_loss: -0.7975, total_Loss: -0.7514, test_loss 0.947279, test_acc: 78.5632
Epoch: [23/100], cls_loss: 0.0437, transfer_loss: -0.8037, total_Loss: -0.7601, test_loss 0.961212, test_acc: 78.4026
