Namespace(backbone='resnet50', batch_size=96, config='plabel_Att_knn/plabel_att_knn.yaml',
data_dir='/DB/rhome/yuhaowang/CV_DA/OfficeHomeDataset_10072016', device=device(type='cuda'), early_stop=20,
epoch_based_training=False, is_balance=False, lr=0.001, lr_decay=0.75, lr_gamma=0.0003, lr_scheduler=True,
momentum=0.9, n_epoch=300, n_iter_per_epoch=300, num_workers=3, seed=1, src_domain='Clipart', tgt_domain='Real_World',
transfer_loss='bnm', transfer_loss_weight=1.0, use_bottleneck=True, weight_decay=0.0005)
balance para is : False
batch_num is  45
load success
Epoch: [ 0/300], cls_loss: 0.0000, transfer_loss: -0.7587, total_Loss: -0.7587, test_loss 0.977636, test_acc: 73.6745
Transfer result: 73.6745
Epoch: [ 1/300], cls_loss: 0.0000, transfer_loss: -0.7713, total_Loss: -0.7713, test_loss 0.966910, test_acc: 73.8123
Epoch: [ 2/300], cls_loss: 0.0000, transfer_loss: -0.7733, total_Loss: -0.7733, test_loss 0.962366, test_acc: 74.2254
Epoch: [ 3/300], cls_loss: 0.0000, transfer_loss: -0.7848, total_Loss: -0.7848, test_loss 0.951886, test_acc: 74.7074
Epoch: [ 4/300], cls_loss: 0.0000, transfer_loss: -0.7921, total_Loss: -0.7921, test_loss 0.937469, test_acc: 74.9598
Epoch: [ 5/300], cls_loss: 0.0000, transfer_loss: -0.7981, total_Loss: -0.7981, test_loss 0.934349, test_acc: 75.0975
Epoch: [ 6/300], cls_loss: 0.0000, transfer_loss: -0.8031, total_Loss: -0.8031, test_loss 0.925231, test_acc: 75.5107
Epoch: [ 7/300], cls_loss: 0.0000, transfer_loss: -0.8094, total_Loss: -0.8094, test_loss 0.918923, test_acc: 75.4877
Epoch: [ 8/300], cls_loss: 0.0000, transfer_loss: -0.8179, total_Loss: -0.8179, test_loss 0.917317, test_acc: 75.9927
Epoch: [ 9/300], cls_loss: 0.0000, transfer_loss: -0.8168, total_Loss: -0.8168, test_loss 0.909579, test_acc: 76.0845
Epoch: [10/300], cls_loss: 0.0000, transfer_loss: -0.8273, total_Loss: -0.8273, test_loss 0.900801, test_acc: 76.2451
Epoch: [11/300], cls_loss: 0.0000, transfer_loss: -0.8291, total_Loss: -0.8291, test_loss 0.902811, test_acc: 76.4517
Epoch: [12/300], cls_loss: 0.0000, transfer_loss: -0.8322, total_Loss: -0.8322, test_loss 0.899130, test_acc: 76.5664
Epoch: [13/300], cls_loss: 0.0000, transfer_loss: -0.8383, total_Loss: -0.8383, test_loss 0.897871, test_acc: 76.6812
Epoch: [14/300], cls_loss: 0.0000, transfer_loss: -0.8418, total_Loss: -0.8418, test_loss 0.892587, test_acc: 76.9107
Epoch: [15/300], cls_loss: 0.0000, transfer_loss: -0.8460, total_Loss: -0.8460, test_loss 0.893235, test_acc: 76.8419
Epoch: [16/300], cls_loss: 0.0000, transfer_loss: -0.8513, total_Loss: -0.8513, test_loss 0.895850, test_acc: 76.8419
Epoch: [17/300], cls_loss: 0.0000, transfer_loss: -0.8510, total_Loss: -0.8510, test_loss 0.886049, test_acc: 77.2091
Epoch: [18/300], cls_loss: 0.0000, transfer_loss: -0.8563, total_Loss: -0.8563, test_loss 0.881945, test_acc: 77.2779
Epoch: [19/300], cls_loss: 0.0000, transfer_loss: -0.8572, total_Loss: -0.8572, test_loss 0.883925, test_acc: 77.4386
Epoch: [20/300], cls_loss: 0.0000, transfer_loss: -0.8572, total_Loss: -0.8572, test_loss 0.888925, test_acc: 77.5534
Transfer result: 77.5534
Epoch: [21/300], cls_loss: 0.0000, transfer_loss: -0.8598, total_Loss: -0.8598, test_loss 0.881682, test_acc: 77.5304
Epoch: [22/300], cls_loss: 0.0000, transfer_loss: -0.8630, total_Loss: -0.8630, test_loss 0.879904, test_acc: 77.6452
Epoch: [23/300], cls_loss: 0.0000, transfer_loss: -0.8681, total_Loss: -0.8681, test_loss 0.882906, test_acc: 77.6452
Epoch: [24/300], cls_loss: 0.0000, transfer_loss: -0.8743, total_Loss: -0.8743, test_loss 0.881327, test_acc: 77.9206
Epoch: [25/300], cls_loss: 0.0000, transfer_loss: -0.8785, total_Loss: -0.8785, test_loss 0.882889, test_acc: 77.9665
Epoch: [26/300], cls_loss: 0.0000, transfer_loss: -0.8724, total_Loss: -0.8724, test_loss 0.881953, test_acc: 78.0583
Epoch: [27/300], cls_loss: 0.0000, transfer_loss: -0.8859, total_Loss: -0.8859, test_loss 0.882438, test_acc: 78.2878
Epoch: [28/300], cls_loss: 0.0000, transfer_loss: -0.8761, total_Loss: -0.8761, test_loss 0.875547, test_acc: 78.2419
Epoch: [29/300], cls_loss: 0.0000, transfer_loss: -0.8840, total_Loss: -0.8840, test_loss 0.879003, test_acc: 78.3567
Epoch: [30/300], cls_loss: 0.0000, transfer_loss: -0.8810, total_Loss: -0.8810, test_loss 0.882498, test_acc: 78.4485
Epoch: [31/300], cls_loss: 0.0000, transfer_loss: -0.8828, total_Loss: -0.8828, test_loss 0.873670, test_acc: 78.4485
